Publisher,Website,Type of Publisher,Genres Published,Year Established,Address,Name,Title,Mission Statement / Editorial Focus,Submission Info,Distributors
"#Ranger Magazine",https://www.rangermagazine.net/,"Magazine, Press","Poetry, Audio, Experimental, Visual Art",2023,"Arlington, VA",David Bishop,,"#Ranger Magazine publishes experimental poetry and art no mainstream outfit will touch, and give voice to the weird, wacky and self-indulgent. At #Ranger, we are happily immune to the demoralizing exigencies of “market forces” and “the money culture.""",No,
11:11 Press,https://1111press.com/,Press,"Fiction, Poetry, Cross Genre Hybrid, Environment Nature, Experimental",2018,"Dundas, MN",Hanna Guido,Associate editor,"11:11 Press is an American independent literary publisher based in Minneapolis, MN. Founded in 2018, 11:11 publishes innovative literature of all forms and varieties. We believe in the freedom of artistic expression, the realization of creative potential, and the transcendental power of stories.  As a publisher, we share the artist's vision with the world. When an author lives according to their true self, their art encourages others to do the same. That’s why we take creative work so seriously, because art and literature has the power to change lives.  Our philosophy is simple. As the publisher, we are the invisible hand, and the written word is the invisible school. You, the artist, are the teachers of your truth. In this way, we lean on one another to spread a culture of curiosity and creativity with those ready to take a leap of faith.",No,
1913 Press,http://www.1913press.org,Press,"Audio, Essays, Fiction, Poetry, Reviews, Translation, Visual Art",2003,"San Marcos, CA",Sandra Doller,Editrice,"Founded in 2003 by l’editrice Sandra Doller, 1913 a journal of forms & 1913 Press are committed to publishing the baddest in poetry, poetics, prose, & their intersections with the arts of all forms, in handsome book-as-art-object fashion.",,
42 Miles Press,https://42milespress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Essays",2010,"South Bend, Indiana",David Dodd Lee,Editor-in-Chief,"42 Miles Press publishes books and of poetry, including the winner of the 42 Miles Press Poetry Prize. We’re in Indiana. We like images, we like language. We like it real and surreal and unreal.  The annual reading period for the 42 Miles Press Poetry Prize Contest is February 1st through June 15.",,
9th House Press,https://www.9thhousepress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Environment Nature, Essays, Feminist, Sci Fi Fantasy Speculative",2025,"Summerland, BC",Carmen Spagnola,Director of Production,"Women-led, multi-racial, queer worker co-op publishing world-building books.",Yes Submission Guidelines URL https://www.9thhousepress.com/submissions Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties Contests no Instagram https://www.instagram.com/9thhousepress/,"Self-distributed at the moment, with fulfilment via Hemlock Connect"
9vt5,https://www.9vtbackslash5.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Visual Art",2020,"Los Angeles, CA",Jack,Editor,"9VT5 is an independent publishing house for artists and writers.
We like to put novel stories and ideas into the world with a focus on limited-run editions.
Our interests lie across an array of disciplines, from the work of visual artists to the publication of academic theses.",No Charges Writers A Submission/Reading Fee no Contests no,
Abalone Mountain Press,https://www.abalonemountainpress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid",2021,"Phoenix, AZ",Amber McCrary,Owner and founder,"To create a space for Indigenous voices to be heard without having to accommodate the white gaze. We strive to create books for Native people by Native people. We hope to create a press that supports Native artistry in all forms. We hope to bring quality work to Indigenous literature and create a world for Indigenous voices to thrive as genuinely and true to form. We encourage works such as poetry, fiction, non-fiction and hybrid works.  We are an indigiqueer, trans, non-binary, Black Indigenous, Indigenous feminist friendly press. We do not accept any forms of lateral violence, Homophobia, racism or sexism in our work or in submissions.",No,
Able Muse,https://www.ablemuse.com,"Magazine, Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Criticism Reviews, Environment Nature, Essays, Experimental, Humor, Interviews, Mystery Crime, Reviews, Translation, Visual Art",1999,"San Jose, California",Alexander S Pepple,Editor & Publisher,"Able Muse is an independent literary journal (founded in 1999) devoted to publishing masterfully crafted writing and fostering a serious community of readers and writers. We feature poetry—with a special emphasis on metrical and formal verse in a contemporary idiom and exceptional free verse—alongside translation, fiction, creative nonfiction, essays, interviews, reviews, and visual art. Our editorial focus is on work that marries technical skill with imaginative force: language that is precise and memorable, musicality without mannerism, and forms—traditional or innovative—used with purpose and freshness.  Able Muse’s mission extends beyond the journal through a family of related presses and platforms: Able Muse Press (https://www.ablemusepress.com
), Word Galaxy Press (https://www.wordgalaxy.com
), and Many Words Press (https://www.manywords.com
), which publish poetry, fiction, and anthologies by emerging and established writers. We also host Eratosphere (https://www.ablemuse.com/erato
), our long-running online literary workshop and discussion forum dedicated to craft, revision, and literary conversation. Together, these efforts support a culture of attentive reading, rigorous standards, and enduring literary exchange.","Yes Submission Guidelines URL https://www.ablemuse.com/submit Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Formats paperback, hardcover, ebook, audio, video, print, digital Contests no Facebook https://www.facebook.com/groups/22503883607 Twitter https://x.com/ablemuse Instagram https://www.instagram.com/ablemusepress/ Average Unique Visitors Per Month 8,000 How Frequently Is Content Updated? Quarterly Number Of Issues Per Year 1 Price Per Issue $23.95 Subscription Price $19.00 Total Subscribers 250 Total Circulation 500 Number Of Books Published Per Year 8",Ingram
Acre Books,http://www.acre-books.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Environment Nature, Essays, Experimental, Flash Fiction, Graphic Novels Comics, Horror Thriller Suspense, Humor, Sci Fi Fantasy Speculative",2016,"Cincinnati, OH",Nicola Mason,Editor,"Founded in 2016 by Nicola Mason, whose intent was to build upon the excellence of The Cincinnati Review, Acre publishes surprising, imaginative, and absorbing books of poetry, fiction, literary nonfiction, and hybrid forms that are expertly crafted and reflect a multiplicity of perspectives and styles. A large part of our mission is to bring to the reading public exciting work by debut authors.  Through its university affiliation, Acre provides opportunities for undergraduates and graduate students in UC’s English PhD program to learn about the book publishing industry. Under the mentorship of our two main editors, Nicola Mason and Lisa Ampleman, student staffers gain hands-on experience in manuscript selection and acquisition, editing and production, and book distribution, marketing, and sales.  Collaborating closely with authors, Acre annually publishes six to seven titles that are supported by the marketing and sales teams at the University of Chicago Press and distributed across the globe by the Chicago Distribution Center. We nominate our titles for major post-publication awards and assist our authors with readings and events, sustaining relationships with our writer family long after their books launch.  Our titles are often reviewed in Publishers Weekly, Booklist, Foreword, Kirkus, and Library Journal, and have garnered attention in the New York Times, Boston Globe, Los Angeles Review of Books, San Francisco Chronicle, Times Literary Supplement, Shelf Awareness, LitHub, The Millions, Book Riot, National Book Review, New Criterion, and numerous other publications and podcasts.  Acre’s accolades include finalist honors from the PEN/Hemingway Award, the Lambda Literary Awards, the Janet Heidinger Kafka Prize, the Shirley Jackson Awards, the Housatonic Book Awards, the Maine Book Award, the Balcones Prize, the Julie Suk Award, the Philip A. McMath Award, and the Theodore Roethke Memorial Poetry Prize, longlist honors from the PEN/Bingham Prize for Debut Short Story Collection, and silver and gold medals from the Foreword INDIES and Independent Publisher Book Awards (IPPYs).",,
Action Books,http://actionbooks.org,Press,Poetry,2005,"Notre Dame, IN",Kate Hedeen,Managing Editor,"Since 2005, Action Books has voltified US publishing, assembling a truly international array of writers and translators with a diverse yet interlocking set of political and aesthetic urgencies. Aase Berg, Kim Hyesoon, Don Mee Choi, Anaïs Duplan, Raúl Zurita, Daniel Borztuzky, Hiromi Itō, Gayath Almadhoun, Jeffrey Angles, Farid Tali, Aditi Machado, and Christian Hawkey are just some of the poets and translators Action Books has celebrated and centered. To see our full catalog and learn more about us, visit: www.actionbooks.org",No,
Agave Press,http://www.agavepress.com,Press,"Essays, Fiction, Poetry, Visual Art",2013,"Portland, Oregon",Ariana Lyriotakis,Editor,"Founded in 2013, we are an independent publisher of art, literature, and photography publications, as well as fine books. 
Agave Magazine, our eponymous publication, is read in 75 countries, and growing. We look for contemporary narratives for a modern audience displaying all the essentials--no more, no less.  Investigations of form and genre are also encouraged.",,
"AIM Higher, Inc.",http://www.aimhigher.org,Press,"Poetry, Cross Genre Hybrid, Translation, Visual Art",2020,"West Hurley, NY",Lissa Kiernan,Executive Director,"AIM Higher publishes books that blur boundaries, negate binaries, interrogate, confound, and delight. We endeavor to open portals into unmapped and magical dimensions, and honor intuition and collaboration.",,
Alice James Books,http://www.alicejamesbooks.org,Press,Poetry,1973,"New Gloucester, ME",Alyssa Neptune,Production & Managing Director,"Alice James is committed to collaborating with literary artists of excellence to produce, promote, and distribute their work which often engages readers on important social issues. The press provides a platform from which to elevate and support writers who offer overlooked perspectives and whose voices have been historically marginalized. AJB is dedicated to helping its artists achieve purposeful engagement with broad audiences and communities nationwide.",,
Alternative Field,http://www.alternativefield.com,Chapbook,"Essays, Graphic Novels Comics, Poetry, Translation",2016,"Los Angeles, CA",Jessica Ceballos y Campbell,,"“What happens after the reading, in between the writing, thinking, and living?”  Alternative Field welcomes dialogue, discourse, co-operative thinking in ways that may instigate internal but constructive criticism, and we do this through curated workshops, discussions, interdisciplinary events, and ethically mindful artistic collaborations and partnerships. Our focus, however, is publishing poetry anthologies.  We publish anthologies under our imprint, Alternative Field Notes. We invite our communities (in various senses of the term) to use their known and/or unknown poetic sensibilities to share discourse and to archive it for future generations.  Alternative Field utilizes poetry [in opposition to violent systems of erasure] as a means to bring people together for a common cause of re-associating our environments to those which are culturally familiar and relevant, in order to resist erasure, and to emerge from this era moving forward toward a more just future, guided by worldviews that foster collaboration and mutuality.",No,
Amplicon Press,https://ampliconpress.com,"Magazine, Press","Essays, Poetry",2023,"London, UK",Simon Kaeppeli,Editor,"Amplicon Press Ltd was founded in January 2023. While headquartered in the UK, we welcome contributions from all over the world. We publish our literary journal, ionosphere, twice a year. ionosphere explores the complex relationship between science, technology, and the human experience. We believe that these forces have the power to shape our world and our understanding of ourselves, and we are committed to publishing works that delve into these themes with depth and nuance.  At Amplicon Press, we are passionate about poetry and storytelling and the power of words to inspire, educate, and transform.",,
Antiphony: a journal & press,http://www.antiphonyajournalandpress.com,"Magazine, Press","Poetry, Experimental, Interviews, Translation",2024,"Burlingame, California",Ann Pedone,Founder & Editor-in-Chief,Antiphony is a San Francisco-based quarterly online and print poetry journal and small press.,No Charges Writers A Submission/Reading Fee no Contests no Number Of Issues Per Year 1,
April Gloaming Publishing,https://www.aprilgloaming.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Environment Nature, Essays, Experimental, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Humor, Mystery Crime, Regional, Sci Fi Fantasy Speculative, Translation, Visual Art",2015,"Nashville, TN",Lara Gray,Managing Editor,"April Gloaming Publishing is a nonprofit independent book press that publishes Southern literature (poetry, fiction, memoirs) by both emerging and established authors. [Please take a look at the About section of our website, as we do not define Southern literature by region, but rather, by aesthetic.] We hold events that bring Southern communities together around the necessary art of literature. Beyond this, we strengthen Southern communities by offering paid opportunities and internships for local professionals to support the publication process, including freelance editing, graphic design, marketing, social media, and art/illustrations to accompany our titles. We also curate and publish the literary and arts journal, Waxing & Waning, which publishes poetry, fiction, creative nonfiction, art, graphic stories, screenplays, plays, and short films that ""bathe in the light of the moon.""","yes Submission Guidelines URL https://www.aprilgloaming.com/submit Reading Period Year round Response Time 6-12 months Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Formats paperback, print, chapbook, ebook, audio Contests yes Contest Guidelines https://aprilgloaming.com/awards/ Facebook https://www.facebook.com/aprilgloaming Instagram https://www.instagram.com/aprilgloamingpublishing Number Of Issues Per Year 2 Price Per Issue $18.99 (print) FREE (online) Subscription Price N/A Total Subscribers N/A Total Circulation 100-500 Number Of Books Published Per Year 10-15",Ingram
